timestamp,top_interest_1,top_interest_2,matched_careers
2025-05-29T02:53:25.589296,Artistic,Conventional,"Translator, Content Writer"
2025-05-29T03:34:10.079432,Artistic,Conventional,"Translator, Content Writer"
2025-05-29T11:49:40.399218,Artistic,Social,"Teacher, Actor, Musician, Teacher (Arts)"
2025-05-29T11:56:02.897895,Conventional,Artistic,"Translator, Content Writer"
2025-05-29T22:33:27.018946,Realistic,Investigative,Openness,Conscientiousness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-05-29T22:50:28.158609,Realistic,Artistic,Openness,Neuroticism,"Graphic Designer, Chef, Photographer, Architect, Animator, Interior Designer, Video Game Developer"
2025-05-29T22:53:49.873453,Investigative,Enterprising,Agreeableness,Conscientiousness,"Lawyer, Product Manager"
2025-05-30T20:26:14.298353,Artistic,Social,Neuroticism,Extraversion,"Teacher, Actor, Musician, Teacher (Arts)"
2025-05-30T22:07:45.820548,Investigative,Enterprising,Openness,Agreeableness,"Lawyer, Product Manager"
2025-05-30T23:09:23.482272,Social,Realistic,Extraversion,Openness,"Nurse, Police Officer, Veterinarian, Paramedic"
2025-06-01T02:30:49.620234,Realistic,Investigative,Openness,Conscientiousness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T02:30:56.770920,Investigative,Artistic,Openness,Conscientiousness,"UX Designer, AI Researcher, Research Scientist"
2025-06-01T02:34:55.065213,Realistic,Investigative,Openness,Conscientiousness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T02:41:16.447328,Realistic,Investigative,Openness,Conscientiousness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T02:41:31.838844,Realistic,Investigative,Openness,Conscientiousness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T02:42:16.300099,Realistic,Investigative,Openness,Conscientiousness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T02:45:26.092641,Realistic,Investigative,Openness,Conscientiousness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T02:52:14.288424,Realistic,Investigative,Openness,Extraversion,"Software Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T03:03:27.309240,Realistic,Investigative,Openness,Extraversion,"Software Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T03:08:32.517479,Conventional,Social,Openness,Agreeableness,Social Worker
2025-06-01T03:16:42.039975,Realistic,Investigative,Conscientiousness,Agreeableness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T04:03:32.477605,Realistic,Investigative,Openness,Extraversion,"Software Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T05:36:48.052241,Investigative,Artistic,Openness,Conscientiousness,"UX Designer, AI Researcher, Research Scientist"
2025-06-01T05:37:40.288107,Investigative,Artistic,Openness,Conscientiousness,"UX Designer, AI Researcher, Research Scientist"
2025-06-01T06:03:40.608944,Realistic,Investigative,Agreeableness,Conscientiousness,"Software Engineer, Mechanical Engineer, Biologist, Environmental Scientist, Dentist, Pilot, Web Developer, Ethical Hacker, Biomedical Engineer, Robotics Engineer"
2025-06-01T07:12:16.522846,Investigative,Social,Conscientiousness,Extraversion,"Teacher (STEM), Counselor"
2025-06-01T09:19:55.254075,Artistic,Social,Openness,Conscientiousness,"Teacher, Actor, Musician, Teacher (Arts)"
2025-06-01T09:31:52.591277,Enterprising,Social,Neuroticism,Openness,"Sales Executive, HR Manager, Public Relations Specialist, Recruiter"
2025-06-01T09:51:22.048615,Realistic,Investigative,Extraversion,Agreeableness,"Biologist, Mechanical Engineer, Biomedical Engineer, Pilot, Dentist, Environmental Scientist, Ethical Hacker, Web Developer, Software Engineer, Robotics Engineer"
2025-06-02T03:41:49.288809,Conventional,Realistic,Openness,Extraversion,Civil Engineer
2025-06-03T00:11:36.179270,Realistic,Investigative,Extraversion,Openness,"Biologist, Biomedical Engineer, Pilot, Dentist, Environmental Scientist, Ethical Hacker, Web Developer, Software Engineer, Robotics Engineer"
2025-06-03T00:25:25.241625,Realistic,Enterprising,Openness,Neuroticism,Fitness Trainer
2025-06-03T02:19:29.256717,Realistic,Investigative,Openness,Agreeableness,"Biologist, Biomedical Engineer, Pilot, Dentist, Environmental Scientist, Ethical Hacker, Web Developer, Software Engineer, Robotics Engineer"
2025-06-03T20:15:48.295393,Enterprising,Artistic,Openness,Extraversion,"Journalist, Marketing Manager, Event Planner, Fashion Designer, Film Director"
2025-06-03T20:18:22.199766,Enterprising,Artistic,Openness,Extraversion,"Journalist, Marketing Manager, Event Planner, Fashion Designer, Film Director"
2025-06-04T01:25:59.660349,Social,Artistic,Agreeableness,Openness,"Teacher, Actor, Musician, Teacher (Arts)"
2025-06-05T07:53:40.568026,Realistic,Investigative,Openness,Extraversion,"Biologist, Biomedical Engineer, Pilot, Dentist, Environmental Scientist, Ethical Hacker, Web Developer, Software Engineer, Robotics Engineer"
2025-06-05T10:45:11.457191,Artistic,Enterprising,Openness,Agreeableness,"Journalist, Marketing Manager, Event Planner, Fashion Designer, Film Director"
2025-06-05T10:46:56.432382,Artistic,Enterprising,Openness,Agreeableness,"Journalist, Marketing Manager, Event Planner, Fashion Designer, Film Director"
